20220517	16:26:27	4953a6b4-feaa-45ab-9a9d-ed30e39f8938	GET	http://localhost:3000	/logout
20220517	16:26:27	7b48f603-3a12-4eb9-880c-6e6a4cd2f6c2	GET	http://localhost:3000	/refresh
20220517	16:26:27	d06ccaf0-e149-4b8f-890f-f4042570bbb7	GET	http://localhost:3000	/refresh
20220517	16:27:22	df348b95-36a5-4ff0-b600-bf1863085752	OPTIONS	http://localhost:3000	/auth
20220517	16:27:22	a48b71ab-d299-4e59-ac3b-d113b05f7929	POST	http://localhost:3000	/auth
20220517	16:27:26	a33780cc-1e12-4377-97cd-e4589cfc4862	GET	http://localhost:3000	/refresh
20220517	16:27:26	ba1d7128-dbac-4608-91a0-44f1955364d5	GET	http://localhost:3000	/refresh
20220517	16:30:36	8995746a-7944-41fa-87b5-e757e40a60ab	GET	http://localhost:3000	/refresh
20220517	16:30:36	ac88693f-f162-4312-b226-9f4534b685bc	GET	http://localhost:3000	/refresh
20220517	16:30:37	65e69458-7aff-49fc-bd96-ad1254774b49	GET	http://localhost:3000	/refresh
20220517	16:30:37	6828d452-89d6-478e-a400-e66c4b23caa7	GET	http://localhost:3000	/refresh
20220517	16:30:37	46ce2d03-9409-40d0-b034-737c6de804aa	OPTIONS	http://localhost:3000	/users
20220517	16:30:37	fde2683f-a207-485b-a22a-9ed7efa206db	GET	http://localhost:3000	/users
20220517	16:30:39	81f20d4b-35e4-474f-bd46-8dd150c5de89	GET	http://localhost:3000	/refresh
20220517	16:30:39	1422804f-77c8-4cae-a062-9bb932fb6057	GET	http://localhost:3000	/refresh
20220517	16:31:38	c58bd5e2-0b90-48ac-9da1-1d20712e14fc	GET	http://localhost:3000	/refresh
20220517	16:31:38	40940b21-133f-4d0f-b1c8-edff533e12fb	GET	http://localhost:3000	/refresh
20220517	16:35:02	b4eb44d9-5960-4a0f-994c-7c2c6814dc1c	GET	http://localhost:3000	/refresh
20220517	16:35:02	37352a69-d775-425e-a770-6682487d78f5	GET	http://localhost:3000	/refresh
20220517	16:35:23	bec682e9-165a-46fc-82f0-91b0fcd5b2fd	GET	http://localhost:3000	/logout
20220517	16:35:23	b3a5b380-d477-4a9d-8739-7ad94ab8f0b5	GET	http://localhost:3000	/refresh
20220517	16:35:23	ab91f567-605f-499c-8805-5992c3ec7a89	GET	http://localhost:3000	/refresh
20220517	16:35:27	7d6318f0-6062-4065-95ae-6469665f1d60	GET	http://localhost:3000	/logout
20220517	16:35:27	425c55cc-131a-44a1-8262-b91508fd5371	GET	http://localhost:3000	/refresh
20220517	16:35:27	7e23151e-3c61-4369-b1b1-a3e360737587	GET	http://localhost:3000	/refresh
20220517	16:37:46	3ff20e13-493d-47a1-9a5b-20a2f2d77eab	OPTIONS	http://localhost:3000	/auth
20220517	16:37:46	5da384ee-8828-4945-9fd2-1e13d609561b	POST	http://localhost:3000	/auth
20220517	16:37:49	7cee87b9-206c-4e94-af96-663d393ca427	GET	http://localhost:3000	/logout
20220517	16:37:49	15793277-a70c-4603-b9d5-f84fa138704b	GET	http://localhost:3000	/refresh
20220517	16:37:49	73fb4549-b4a4-49bd-bc49-d7e37acd23f1	GET	http://localhost:3000	/refresh
20220517	16:50:02	d1f6f9d2-455c-40f1-b946-1f3168848b71	OPTIONS	http://localhost:3000	/auth
20220517	16:50:02	e6a2bf79-2941-4ee5-839d-0dd9b188619e	POST	http://localhost:3000	/auth
20220517	16:53:25	ff120b38-e2ce-429a-b82f-73480fa08786	GET	http://localhost:3000	/refresh
20220517	16:53:25	688e81b7-72fd-4d39-9b42-b0de675ab706	GET	http://localhost:3000	/refresh
20220517	16:53:43	dd6496d4-d898-4ec0-8b6f-7608ab94c0ca	GET	http://localhost:3000	/refresh
20220517	16:53:43	9ae63459-a517-4230-857a-fbafcad57fc3	GET	http://localhost:3000	/refresh
20220517	16:53:43	dded8f37-4d18-4c56-a250-e440dc582fcf	OPTIONS	http://localhost:3000	/users
20220517	16:53:43	34c86e19-d4a2-415d-98b6-a33a3a0dca2e	GET	http://localhost:3000	/users
20220517	16:53:51	cc4defde-5bad-4de0-993a-49b6b9ab0d0d	GET	http://localhost:3000	/refresh
20220517	16:53:51	cb5822c3-9a1e-4e78-80e7-e889f93109ee	GET	http://localhost:3000	/refresh
